DateKey,CurrencyKey,Sum of AverageRate,Năm,Quý,Tháng,Ngày,Sum of EndOfDayRate
20101229,3,1,2010,Qtr 4,Tháng Mười Hai,29,0.999800039992002
20101229,6,0.645536117745788,2010,Qtr 4,Tháng Mười Hai,29,0.645161290322581
20101229,14,0.00157601953885984,2010,Qtr 4,Tháng Mười Hai,29,0.00157579577686732
20101229,16,0.516022498580938,2010,Qtr 4,Tháng Mười Hai,29,0.51495957567331
20101229,19,0.683013455365071,2010,Qtr 4,Tháng Mười Hai,29,0.681059728938228
20101229,29,0.52723150735488,2010,Qtr 4,Tháng Mười Hai,29,0.526981450252951
20101229,36,1.03124677735382,2010,Qtr 4,Tháng Mười Hai,29,1.03060908997217
20101229,39,0.157205514769458,2010,Qtr 4,Tháng Mười Hai,29,0.157200572210083
20101229,61,0.106678045658204,2010,Qtr 4,Tháng Mười Hai,29,0.106564364876385
20101229,85,0.266616898179007,2010,Qtr 4,Tháng Mười Hai,29,0.266070668369519
20101229,98,1.61733786187935,2010,Qtr 4,Tháng Mười Hai,29,1.61733786187935
20101229,100,1,2010,Qtr 4,Tháng Mười Hai,29,1
20101229,102,0.00953197979220284,2010,Qtr 4,Tháng Mười Hai,29,0.00952762057203834
20101229,103,0.120800666819681,2010,Qtr 4,Tháng Mười Hai,29,0.120796289137998
20101230,3,1,2010,Qtr 4,Tháng Mười Hai,30,1.00090081072966
20101230,6,0.642714827431069,2010,Qtr 4,Tháng Mười Hai,30,0.642756138321121
20101230,14,0.00157666535277887,2010,Qtr 4,Tháng Mười Hai,30,0.00157669021190716
20101230,16,0.517089818501474,2010,Qtr 4,Tháng Mười Hai,30,0.517330574236937
20101230,19,0.682081713389264,2010,Qtr 4,Tháng Mười Hai,30,0.683200109312017
20101230,29,0.528429507503699,2010,Qtr 4,Tháng Mười Hai,30,0.528485360955502
20101230,36,1.0334849111203,2010,Qtr 4,Tháng Mười Hai,30,1.03412616339193
20101230,39,0.157559715132035,2010,Qtr 4,Tháng Mười Hai,30,0.15756716300323
20101230,61,0.106440728480346,2010,Qtr 4,Tháng Mười Hai,30,0.106474728223256
20101230,85,0.266616898179007,2010,Qtr 4,Tháng Mười Hai,30,0.266616898179007
20101230,98,1.62179695102173,2010,Qtr 4,Tháng Mười Hai,30,1.62284972411555
20101230,100,1,2010,Qtr 4,Tháng Mười Hai,30,1
20101230,102,0.00946073793755913,2010,Qtr 4,Tháng Mười Hai,30,0.00946306565474951
20101230,103,0.120800666819681,2010,Qtr 4,Tháng Mười Hai,30,0.120810882644309
20101231,3,1,2010,Qtr 4,Tháng Mười Hai,31,0.999600159936026
20101231,6,0.641354540790149,2010,Qtr 4,Tháng Mười Hai,31,0.641148938898506
20101231,14,0.00157542339503742,2010,Qtr 4,Tháng Mười Hai,31,0.00157529955502513
20101231,16,0.516555607211116,2010,Qtr 4,Tháng Mười Hai,31,0.51440329218107
20101231,19,0.681570338058888,2010,Qtr 4,Tháng Mười Hai,31,0.678702321161938
20101231,29,0.532028091083209,2010,Qtr 4,Tháng Mười Hai,31,0.531858312945431
20101231,36,1.04058272632674,2010,Qtr 4,Tháng Mười Hai,31,1.04004160166407
20101231,39,0.158626925334306,2010,Qtr 4,Tháng Mười Hai,31,0.158626925334306
20101231,61,0.106894708711919,2010,Qtr 4,Tháng Mười Hai,31,0.106894708711919
20101231,85,0.26663111585122,2010,Qtr 4,Tháng Mười Hai,31,0.266169816342827
20101231,98,1.62443144899285,2010,Qtr 4,Tháng Mười Hai,31,1.62258640272595
20101231,100,1,2010,Qtr 4,Tháng Mười Hai,31,1
20101231,102,0.00947597839476926,2010,Qtr 4,Tháng Mười Hai,31,0.00946933828264081
